87,17-JUN-2019,Cessna 680 Citation Sovereign,LV-CIQ,Banco Macro,0,Joaquín V. G...,,,A2
88,17-JUN-2019,Boeing 737-8H4 (WL),N8608N,Southwest Airlines,0,Pittsburgh-G...,,,A2
89,20-JUN-2019,Antonov An-2R,UP-A0329,Navigator,1,near Rodina villa...,,,A1
90,21-JUN-2019,Basler Turbo 67 (DC-3T),C-FKGL,North Star Air,0,near Fort Hope Ai...,,,A2
91,23-JUN-2019,Antonov An-2R,UR-43983,Phoenix Air,0,"near Mlyny, Polta...",,,A1
92,24-JUN-2019,Hawker Siddeley HS-125-400,,Unknown,0,Parque Nacio...,,,O1
93,26-JUN-2019,Rockwell Sabreliner 65,N65HH,Yankee Dawdle LLC,0,Sacramento-M...,,,A1
94,27-JUN-2019,Antonov An-24RV,RA-47366,Angara Airlines,2,Nizhneangars...,,,A1
95,27-JUN-2019,BAe 3212 Jetstream 31,YV2536,Transmandu,0,Canaima Airp...,,,A1
96,28-JUN-2019,Saab 340A,C6-VIP,Western Air,0,Nassau-Lynde...,,,O2
97,29-JUN-2019,Cessna 208B Grand Caravan,N80JF,ISR Aviation,0,Plant City-B...,,,A2
98,30-JUN-2019,Beech B300 King Air 350i,N534FF,EE Operations LLC,10,Dallas-Addis...,,,A1
99,30-JUN-2019,Antonov An-2T,RF-00105,"DOSAAF, Gvardeysky ATSK",0,near Gvardeysky,,,A2
0,04-JAN-2018,Gulfstream G150,OE-GKA,Private Airlines Germany,0+ 1,Kittilä Airp...,,,A2
1,05-JAN-2018,Boeing 737-8CT (WL),C-FDMB,WestJet,0,Toronto-Pear...,,,A2
2,05-JAN-2018,Boeing 737-8FH (WL),C-FPRP,Sunwing Airlines,0,Toronto-Pear...,,,A2
3,06-JAN-2018,Antonov An-2TP,YV1944,Unknown,0,La Paragua A...,,,A1
4,07-JAN-2018,Cessna 208B Grand Caravan,5Y-FDC,Unknown,0+ 1,Akobo,,,A1
5,09-JAN-2018,Embraer EMB-110P1 Bandeirante,C6-MIC,Pineapple Air,0,Governor's H...,,,A2
6,10-JAN-2018,Swearingen SA227-AT Merlin IVC,N561UP,Ameriflight,0,Rock Springs...,,,A2
7,13-JAN-2018,Boeing 737-82R (WL),TC-CPF,Pegasus Airlines,0,Trabzon Airp...,,,A1
8,15-JAN-2018,Airbus A319-111,5A-ONC,Afriqiyah Airways,0,Tripoli-Miti...,,,C1
9,16-JAN-2018,BAe BAe-748-347 Srs. 2A,S2-AAX,Bismillah Airlines,0,Jessore Airp...,,,A2
10,16-JAN-2018,Antonov An-2,,Kazakhstan Air Defence Force,0,near Zhetygen Air...,,,A1
11,17-JAN-2018,IPTN/CASA CN-235M-100,98-148,Turkish AF,3,Hodulluca Me...,,,A1
12,18-JAN-2018,Convair CV-580F,XA-TRB,Air Tribe,0,Brownsville-...,,,A1
13,20-JAN-2018,Embraer EMB-120ER Brasilia,5Y-CEI,"European Union, lsf AirTraffic Africa",0,Mogadishu Ad...,,,A2
14,20-JAN-2018,Let L-410UVP,UR-VTV,Galeyr Airline,0,Mogadishu Ad...,,,A1
15,25-JAN-2018,Gulfstream G200,5N-BTF,Nestoil,0,Abuja Intern...,,,A1
16,25-JAN-2018,Airbus A320,,Unknown,0,Berlin-Schön...,,,A2
17,29-JAN-2018,Shaanxi Y-8GX-3,30513,China Air Force,12,"Zhengchang, ...",,,A1
18,11-FEB-2018,Antonov An-148-100B,RA-61704,Saratov Airlines,71,near Stepanovskoy...,,,A1
19,16-FEB-2018,Fokker 100,EP-FQF,Qeshm Air,0,Mashhad Airp...,,,A2
20,18-FEB-2018,ATR 72-212,EP-ATS,Iran Aseman Airlines,66,near Yasuj Airpor...,,,A1
21,20-FEB-2018,MD-83,5N-SRI,Dana Air,0,Port Harcour...,,,A2
22,21-FEB-2018,Cessna 208B Grand Caravan,G-BZAH,Army Parachute Association,0,Netheravon A...,,,A2
23,23-FEB-2018,Beech B100 King Air,C-GIAE,Island Express Air,0,Abbotsford A...,,,A2
24,26-FEB-2018,Beech A100 King Air,C-GJXF,Strait Air,0,Havre-Saint-...,,,A2
25,28-FEB-2018,Airbus A320-214,ES-SAN,SmartLynx Airlines Estonia,0,Tallinn-Lenn...,,,A1
26,01-MAR-2018,Beech 200 Super King Air,YV1909,Unknown,0,Charallave-Ó...,,,A2
27,04-MAR-2018,Boeing 737-322 (SF),9S-ASG,Serve Air,0,Lubumbashi I...,,,A1
28,06-MAR-2018,Antonov An-26,RF-92955/52,Russian AF,39,near Latakia-Khme...,,,A1
29,11-MAR-2018,Canadair Challenger 604,TC-TRB,MC Aviation,11,near Shahr-e Kurd,,,A1
30,12-MAR-2018,DHC-8-402Q Dash 8,S2-AGU,US-Bangla Airlines,51,Kathmandu-Tr...,,,A1
31,15-MAR-2018,Beech B200 Super King Air,YV3284 ?,Unknown,0,"near Blue Creek, ...",,,A1
32,15-MAR-2018,Cessna 208 Caravan I,VH-PGA,West Coast Air Services,0,"Talbot Bay, WA",,,A1
33,16-MAR-2018,Beech C99,N213AV,Ameriflight,0,Hastings Air...,,,A2
34,17-MAR-2018,Canadair CRJ-200ER,C-FDJA,"Air Canada Express, opb Jazz Aviation",0,Montreal-Pie...,,,A2
35,20-MAR-2018,DHC-6 Twin Otter 300,N716JP,Bald Mountain Air Services,0,"near Deadhorse, AK",,,A2
36,25-MAR-2018,ATR 42-500,F-GPYF,HOP!,0,Aurillac Air...,,,I2
37,26-MAR-2018,CASA C-212 Aviocar,N217BH,Bighorn Airways,0,Sheridan Air...,,,O2
38,26-MAR-2018,CASA C-212 Aviocar 200,N107BH,Bighorn Airways,0,Sheridan Air...,,,A2
39,27-MAR-2018,Airbus A319-111,G-EZMK,easyJet,0,Murcia-San J...,,,A2
40,28-MAR-2018,Boeing 737-76J (WL),D-ABLB,Germania,0,Tel Aviv-Ben...,,,A2
41,28-MAR-2018,Boeing 767-3Q8ER,4X-EAK,El Al,0,Tel Aviv-Ben...,,,A1
